register,variable_name,documented_name,unit,data_type,values,,writable,read_interval,note
109,temprupperlimitchg,TemprUpperLimitChg,0.1C,,0-65536,,W,,Lead-acid Temperature high limit for charging
110.b0,functionen1_ubpvgridoffen,FunctionEn1_ubPVGridOffEn,Bit0,1bit,0~1,,W,,1
110.b1,functionen1_ubfastzero_export,FunctionEn1_ubFastZero Export,Bit1,1bit,"{""0"": ""disable"", ""1"": ""enable""}",,W,,0 - disable 1 - enable
110.b2,functionen1_ubmicrogriden,FunctionEn1_ubMicroGridEn,Bit2,1bit,"{""0"": ""disable"", ""1"": ""enable""}",,W,,0 - disable 1 - enable
110.b3,functionen1_ubbatshared,FunctionEn1_ubBatShared,Bit3,1bit,"{""0"": ""disable"", ""1"": ""enable""}",,W,,0 - disable 1 - enable
110.b4,functionen1_ubchglasten,FunctionEn1_ubChgLastEn,Bit4,1bit,"{""0"": ""disable"", ""1"": ""enable""}",,W,,0 - disable 1 - enable
110.b5,functionen1_ctsampleratio,FunctionEn1_CTSampleRatio,Bit5-6,2bit,"{""0"":""1/1000"",""1"":""1/3000""}",,W,,0 : 1/1000 1- 1/3000
110.b7,functionen1_buzzeren,FunctionEn1_BuzzerEn,,1bit,"{""0"": ""disable"", ""1"": ""enable""}",,W,,0-disable 1-enable
110.b8,functionen1_pvctsampletype,FunctionEn1_PVCTSampleType,,2bit,"{""0"":""PV power"",""1"":""SpecLoad""}",,W,,0-PV power 1-SpecLoad
110.b10,functionen1_takeloadtogether,FunctionEn1_TakeLoadTogether,,1bit,"{""0"": ""disable"", ""1"": ""enable""}",,W,,For off-grid: 0-disable 1- enable
110.b11,functionen1_ongridworkingmode,FunctionEn1_OnGridWorkingMode,,1bit,0~1,,W,,For 12K: consistant chk mask 0- disable 1-enable 0-self consumption 1-Charge First
110.b12,functionen1_pvctsampleratio,FunctionEn1_PVCTSampleRatio,Bit12-13,2bit,"{""0"":""1/1000"",""1"":""1/3000""}",,W,,0 : 1/1000 1- 1/3000
110.b14,functionen1_greenmodeen,FunctionEn1_GreenModeEn,,1bit,"{""0"": ""disable"", ""1"": ""enable""}",,W,,0-disable 1- enable
110.b15,functionen1_ecomodeen,FunctionEn1_EcoModeEn,,1bit,"{""0"": ""disable"", ""1"": ""enable""}",,W,,0-disable 1- enable
112,setsystemtype,SetSystemType,,,"{""0"":""no parallel (single one)"",""1"":""Single-phase parallel operation forms a single-phase system. (Primary, which will not show on off-grid mode)"",""2"":""Secondary (will not show on off-grid mode)"",""3"":""Single phase parallel operation forms a three phase system (Primary, which will not show on off-grid mode)""}",,W,,1
113,setcomposedphase,SetComposedPhase,,,46025,,W,,Parallel phase setting 1-R 2-S 3-T
114,clearfunction,ClearFunction,,,1,,WD,,Parallel Alarm clear1- clear
115,ovfderatestartpoint,OVFDerateStartPoint,0.01Hz,,5000-5200,,W,,Overfrequency load reduction start frequency point
116,ptouserstartdischg,PtoUserStartdischg,1W,,50W-,,W,,Ptouser: value of discharging initiate
117,ptouserstartchg,PtoUserStartchg,1W,,- -50W,,W,,Ptouser: starts AC charging less than this value
118,vbatstartderating,VbatStartDerating,0.1V,,>CutVoltForDisc hg+2V,,W,,For lead-acid battery
119,wct_poweroffset,wCT_PowerOffset,1W,short,-1000~1000,,W,,"signed short int; CT Power compensation, PtoUser direction is positive."
120.b0,stsysenable_bit_halfhouracchrstarten,stSysEnable_bit_HalfHourACChrStartEn,Bit0,1bit,0~1,,W,,1
120.b1,stsysenable_bit_acchargetype,stSysEnable_bit_ACChargeType,,3bit,"{""0"":""disable"",""1"":""according to time"",""2"":""according to voltage"",""3"":""according to SOC"",""4"":""according to VoltageandTime"",""5"":""according to SOC and Time""}",,W,,0-disable 1-according to time 2-accoridng to voltage 3-according to SOC For 12K: 0 - according to time4-according to VoltageandTime5-according to SOC andTime
120.b4,stsysenable_bit_dischgctrltype,stSysEnable_bit_DischgCtrlType,,2bit,"{""0"":""according to voltage"",""1"":""according to SOC"",""2"":""according to both""}",,W,,0-according to voltage 1- according to SOC 2- according to both
120.b6,stsysenable_bit_ongrideodtype,stSysEnable_bit_OnGridEODType,,1bit,"{""0"":""according to voltage"",""1"":""according to SOC""}",,W,,0-according to voltage 1- according to SOC
120.b7,stsysenable_bit_genchargetype,stSysEnable_bit_GenChargeType,,1bit,"{""0"":""According to Battery voltage"",""1"":""According to Battery SOC""}",,W,,0-According to Battery voltage1-According to Battery SOC
121,q2_qv,Q2_QV,,,,,R,,
124,ovfderateendpoint,OVFDerateEndPoint,0.01Hz,,5000-5200,,W,,Overfrequency load reduction ends at the frequency point
125,soclowlimitforepsdischg,SOCLowLimitForEPSDischg,%,,0-EOD,,W,,SOC low limit for EPS discharge
126.b0,optimalchg_dischg_time0,OptimalChg_DisChg_Time0,,2bit,0~2,,W,,"0:00~0:30 Mark of time period charging and discharging. Default: 0; 0 - does not operate, 1-AC charge, 2-PV charge, 3 - discharge"
126.b2,optimalchg_dischg_time1,OptimalChg_DisChg_Time1,,2bit,0~2,,W,,0:30~1:00 Mark of time period charging and discharging.
126.b4,optimalchg_dischg_time2,OptimalChg_DisChg_Time2,,2bit,0~2,,W,,1:00~1:30 Mark of time period charging and discharging.
126.b6,optimalchg_dischg_time3,OptimalChg_DisChg_Time3,,2bit,0~2,,W,,
126.b8,optimalchg_dischg_time4,OptimalChg_DisChg_Time4,,2bit,0~2,,W,,
126.b10,optimalchg_dischg_time5,OptimalChg_DisChg_Time5,,2bit,0~2,,W,,
126.b12,optimalchg_dischg_time6,OptimalChg_DisChg_Time6,,2bit,0~2,,W,,
126.b14,optimalchg_dischg_time7,OptimalChg_DisChg_Time7,,2bit,0~2,,W,,3:30~4:00 Mark of time period charging and discharging.
127.b0,optimalchg_dischg_time8,OptimalChg_DisChg_Time8,,2bit,0~2,,W,,"4:00~4:30 Mark of time period charging and discharging. Default: 0; 0 - does not operate, 1-AC charge, 2-PV charge, 3 - discharge"
127.b2,optimalchg_dischg_time9,OptimalChg_DisChg_Time9,,2bit,0~2,,W,,4:30~5:00 Mark of time period charging and discharging.
127.b4,optimalchg_dischg_time10,OptimalChg_DisChg_Time10,,2bit,0~2,,W,,5:00~5:30 Mark of time period charging and discharging.
127.b6,optimalchg_dischg_time11,OptimalChg_DisChg_Time11,,2bit,0~2,,W,,
127.b8,optimalchg_dischg_time12,OptimalChg_DisChg_Time12,,2bit,0~2,,W,,
127.b10,optimalchg_dischg_time13,OptimalChg_DisChg_Time13,,2bit,0~2,,W,,
127.b12,optimalchg_dischg_time14,OptimalChg_DisChg_Time14,,2bit,0~2,,W,,
127.b14,optimalchg_dischg_time15,OptimalChg_DisChg_Time15,,2bit,0~2,,W,,7:30~8:00 Mark of time period charging and discharging.
128.b0,optimalchg_dischg_time16,OptimalChg_DisChg_Time16,,2bit,0~2,,W,,"8:00~8:30 Mark of time period charging and discharging. Default: 0; 0 - does not operate, 1-AC charge, 2-PV charge, 3 - discharge"
128.b2,optimalchg_dischg_time17,OptimalChg_DisChg_Time17,,2bit,0~2,,W,,8:30~9:00 Mark of time period charging and discharging.
128.b4,optimalchg_dischg_time18,OptimalChg_DisChg_Time18,,2bit,0~2,,W,,9:00~9:30 Mark of time period charging and discharging.
128.b6,optimalchg_dischg_time19,OptimalChg_DisChg_Time19,,2bit,0~2,,W,,
128.b8,optimalchg_dischg_time20,OptimalChg_DisChg_Time20,,2bit,0~2,,W,,
128.b10,optimalchg_dischg_time21,OptimalChg_DisChg_Time21,,2bit,0~2,,W,,
128.b12,optimalchg_dischg_time22,OptimalChg_DisChg_Time22,,2bit,0~2,,W,,
128.b14,optimalchg_dischg_time23,OptimalChg_DisChg_Time23,,2bit,0~2,,W,,11:30~12:00 Mark of time period charging and discharging.
129.b0,optimalchg_dischg_time24,OptimalChg_DisChg_Time24,,2bit,0~2,,W,,"12:00~12:30 Mark of time period charging and discharging. Default: 0; 0 - does not operate, 1-AC charge, 2-PV charge, 3 - discharge;"
129.b10,optimalchg_dischg_time29,OptimalChg_DisChg_Time29,,2bit,0~2,,W,,
129.b12,optimalchg_dischg_time30,OptimalChg_DisChg_Time30,,2bit,0~2,,W,,
129.b14,optimalchg_dischg_time31,OptimalChg_DisChg_Time31,,2bit,0~2,,W,,17:00~17:30 Mark of time period charging and discharging.
129.b2,optimalchg_dischg_time25,OptimalChg_DisChg_Time25,,2bit,0~2,,W,,12:30~13:00 Mark of time period charging and discharging.
129.b4,optimalchg_dischg_time26,OptimalChg_DisChg_Time26,,2bit,0~2,,W,,13:00~13:30 Mark of time period charging and discharging.
129.b6,optimalchg_dischg_time27,OptimalChg_DisChg_Time27,,2bit,0~2,,W,,
129.b8,optimalchg_dischg_time28,OptimalChg_DisChg_Time28,,2bit,0~2,,W,,
130.b0,optimalchg_dischg_time32,OptimalChg_DisChg_Time32,,2bit,0~2,,W,,"16:00~16:30 Mark of time period charging and discharging. 0 - does not operate, 1-AC charge, 2-PV charge, 3 - discharge;"
130.b2,optimalchg_dischg_time33,OptimalChg_DisChg_Time33,,2bit,0~2,,W,,16:30~17:00 Mark of time period charging and discharging.
130.b4,optimalchg_dischg_time34,OptimalChg_DisChg_Time34,,2bit,0~2,,W,,
130.b6,optimalchg_dischg_time35,OptimalChg_DisChg_Time35,,2bit,0~2,,W,,
130.b8,optimalchg_dischg_time36,OptimalChg_DisChg_Time36,,2bit,0~2,,W,,
130.b10,optimalchg_dischg_time37,OptimalChg_DisChg_Time37,,2bit,0~2,,W,,
130.b12,optimalchg_dischg_time38,OptimalChg_DisChg_Time38,,2bit,0~2,,W,,
130.b14,optimalchg_dischg_time39,OptimalChg_DisChg_Time39,,2bit,0~2,,W,,19:30~20:00 Mark of time period charging and discharging.
131.b0,optimalchg_dischg_time40,OptimalChg_DisChg_Time40,,2bit,0~2,,W,,20:00~20:30 Mark of time period charging and discharging. 0-does not operate
131.b2,optimalchg_dischg_time41,OptimalChg_DisChg_Time41,,2bit,0~2,,W,,20:30~21:00 Mark of time period charging and discharging.
131.b4,optimalchg_dischg_time42,OptimalChg_DisChg_Time42,,2bit,0~2,,W,,21:00~21:30 Mark of time period charging and discharging.
131.b6,optimalchg_dischg_time43,OptimalChg_DisChg_Time43,,2bit,0~2,,W,,
131.b8,optimalchg_dischg_time44,OptimalChg_DisChg_Time44,,2bit,0~2,,W,,
131.b10,optimalchg_dischg_time45,OptimalChg_DisChg_Time45,,2bit,0~2,,W,,
131.b12,optimalchg_dischg_time46,OptimalChg_DisChg_Time46,,2bit,0~2,,W,,
131.b14,optimalchg_dischg_time47,OptimalChg_DisChg_Time47,,2bit,0~2,,W,,23:30~0:00 Mark of time period charging and discharging.
132.b0,batcellvoltlow,BatCellVoltLow,0.1V,8bit,0-200,,W,,Battery cell voltage lower limit.
132.b8,batcellvolthigh,BatCellVoltHigh,0.1V,8bit,0-200,,W,,Battery cell voltage upper limit
133.b0,batcellserialnum,BatCellSerialNum,1,8bit,0-200,,W,,Number of battery cells in series
133.b8,batcellparanum,BatCellParaNum,1,8bit,0-200,,W,,Number of battery cells in parallel
134,uvfderatestartpoint,UVFDerateStartPoint,0.01Hz,,4500-5000,,W,,Under-frequency load reduction starting point
135,uvfderateendpoint,UVFDerateEndPoint,0.01Hz,,4500-5000,,W,,The end point of under-frequency load reduction
136,ovfderateratio,OVFDerateRatio,%Pm/Hz,,1-100,,W,,Under-frequency load ramp rate
137,specloadcompensate,SpecLoadCompensate,w,,0-65535,,W,,The maximum amount of compensation for a specific load
138,chargepowerpercentcmd,ChargePowerPercentCMD,0.10%,,0-1000,,W,,Charging power percentage setting in decimals
139,dischgpowerpercentcmd,DischgPowerPercentCMD,0.10%,,0-1000,,W,,Discharging power percentage setting
140,acchgpowercmd,ACChgPowerCMD,0.10%,,0-1000,,W,,AC charge percentage setting
141,chgfirstpowercmd,ChgFirstPowerCMD,0.10%,,0-1000,,W,,Charging priority percentage setting
142,forceddischgpowercmd,ForcedDischgPowerCMD,0.10%,,0-1000,,W,,Forced discharge percentage setting
143,activepowerpercentcmd,ActivePowerPercentCMD,0.10%,,0-1000,,W,,Inverse active percentage setting
144,floatchargevolt,FloatChargeVolt,0.1V,,500-560,,W,,Float charge voltage
145,outputprioconfig,OutputPrioConfig,,,"{""0"": ""bat first"", ""1"": ""PV first"", ""2"": ""AC first"", ""3"":""Unknown""}",,W,,"0~3, 0-bat first 1-PV first 2-AC first"
146,linemode,LineMode,,,"{""0"": ""APL(90-280V 20ms)"", ""1"": ""UPS (170-280V 10ms)"", ""2"": ""GEN (90-280V 20ms)""}",,W,,0-APL(90-280V 20ms) 1-UPS (170-280V 10ms)2-GEN (90- 280V 20ms)
147,battery_capacity,Battery capacity,Ah,,0-10000,,W,,Battery capacity
148,battery_nominal_voltage,Battery nominal Voltage,0.1V,,400-590,,W,,Battery rating voltage
149,equalizationvolt,EqualizationVolt,,,500-590,,W,,Battery equalization voltage
150,equalizationinterval,EqualizationInterval,Day,,0-365,,W,,Balancing interval
151,equalizationtime,EqualizationTime,hour,,0-24,,W,,Balancing duration
152.b0,acfirststarthour,ACFirstStartHour,hour,8bit,0-23,,W,,AC load start time_hours setting
152.b8,acfirststartminute,ACFirstStartMinute,min,8bit,0-59,,W,,AC load start time _minutes setting
153.b0,acfirstendhour,ACFirstEndHour,hour,8bit,0-23,,W,,AC load end time _hours setting
153.b8,acfirstendminute,ACFirstEndMinute,min,8bit,0-59,,W,,AC load end ime_minutes setting
154.b0,acfirststarthour1,ACFirstStartHour1,hour,8bit,0-23,,W,,AC load start time_hours setting
154.b8,acfirststartminute1,ACFirstStartMinute1,min,8bit,0-59,,W,,AC load start time_minutes setting
155.b0,acfirstendhour1,ACFirstEndHour1,hour,8bit,0-23,,W,,AC load end time_hours setting
155.b8,acfirstendminute1,ACFirstEndMinute1,min,8bit,0-59,,W,,AC load end time_minutes setting
156.b0,acfirststarthour2,ACFirstStartHour2,hour,8bit,0-23,,W,,AC load start time_Hours setting
156.b8,acfirststartminute2,ACFirstStartMinute2,min,8bit,0-59,,W,,AC load start time_minutes setting
