register,variable_name,documented_name,unit,data_type,values,,writable,read_interval,note
209.b8,peakshavingstartminute,PeakShavingStartMinute,min,8bit,0-59,,W,,PeakShaving start time_minutes setting
210.b0,peakshavingendhour,PeakShavingEndHour,hour,8bit,0-23,,W,,PeakShaving end time_hours setting
210.b8,peakshavingendminute,PeakShavingEndMinute,min,8bit,0-59,,W,,PeakShaving end time_minutes setting
211.b0,peakshavingstarthour1,PeakShavingStartHour1,hour,8bit,0-23,,W,,PeakShaving start time_hours setting
211.b8,peakshavingstartminute1,PeakShavingStartMinute1,min,8bit,0-59,,W,,PeakShaving start time_minutes setting
212.b0,peakshavingendhour1,PeakShavingEndHour1,hour,8bit,0-23,,W,,PeakShaving end time_ hours setting
212.b8,peakshavingendminute1,PeakShavingEndMinute1,min,8bit,0-59,,W,,PeakShaving end time_minutes setting
213,smartloadonvolt,SmartLoadOnVolt,0.1V,,480-590,,W,,
214,smartloadoffvolt,SmartLoadOffVolt,0.1V,,400-520,,W,,
215,smartloadonsoc,SmartLoadOnSOC,%,,0-100,,W,,
216,smartloadoffsoc,SmartLoadOffSOC,%,,0-100,,W,,
217,startpvpower,StartPVpower,0.1kW,,0-120,,W,,
218,gridpeakshavingsoc1,GridPeakShavingSOC1,%,,0-100,,W,,
219,gridpeakshavingvolt1,GridPeakShavingVolt1,0.1V,,480-590,,W,,
220,accouplestartsoc,ACCoupleStartSOC,%,,0-80,,W,,ACCouple SOC start charging point
221,accoupleendsoc,ACCoupleEndSOC,%,,0-100,,W,,ACCouple SOC stop charging limit
222,accouplestartvolt,ACCoupleStartVolt,0.1V,,400-520,,W,,ACCouple voltage start charging point
223,accoupleendvolt,ACCoupleEndVolt,0.1V,,400-560,,W,,ACCouple voltage stop charging point
224.b0,lcdversion,LCDVersion,,8bit,0-255,,W,,
224.b8,lcdscreentype,LCDScreenType,,2bit,"{""0"": ""big screen"", ""1"": ""small screen"", ""2"": ""unknown"", ""3"": ""unknown"", ""4"": ""unknown"", ""5"": ""unknown"", ""6"": ""unknown"", ""7"": ""unknown""}",,W,,"0~7, 0 - big screen 1 - small screen"
224.b10,lcdmachinemodelcode,LCDMachineModelCode,,6bit,"{""0"": ""12K"", ""01"": ""All-in-one"", ""02"": ""Three phase inverter""}",,W,,"0~31, 00:12K 01: All-in-one 02: Three phase inverter"
226.b0,resvd,Resvd,,2bit,0,,WD,,
226.b2,function3_excten,Function3_ExCtEn,,1bit,0~1,,W,,1
226.b3,function3_runwithoutgrid,Function3_RunwithoutGrid,,1bit,0~1,,W,,1
226.b4,function3_nperlyen,Function3_NPeRlyEn,,1bit,0~1,,W,,1
227,register_227,Register 227,,ushort,0-65535,,R,,
228,register_228,Register 228,,ushort,0-65535,,R,,
233,register_233,Register 233,,ushort,0-65535,,R,,
236,register_236,Register 236,,ushort,0-65535,,R,,
237,register_237,Register 237,,ushort,0-65535,,R,,
241,register_241,Register 241,,ushort,0-65535,,R,,
242,register_242,Register 242,,ushort,0-65535,,R,,
244,register_244,Register 244,,ushort,0-65535,,R,,
245,register_245,Register 245,,ushort,0-65535,,R,,
252,register_252,Register 252,,ushort,0-65535,,R,,
253,register_253,Register 253,,ushort,0-65535,,R,,
254,register_254,Register 254,,ushort,0-65535,,R,,
257,register_257,Register 257,,ushort,0-65535,,R,,
260,register_260,Register 260,,ushort,0-65535,,R,,
268,register_268,Register 268,,ushort,0-65535,,R,,
