register,variable_name,documented_name,unit,data_type,values,read_interval,writable,adjustments,note
0x000B,,Product type,,BYTE,"{""0"": ""domestic controller"", ""1"": ""controller for street light"", ""3"": ""grid-connected inverter"", ""4"": ""all-in-one solar charger inverter"", ""5"": ""power frequency off-grid""}",,R,,
0x001A,,RS485 address,,,1~247,,R,,
0x001C,,RS485 version,0.01,,,,R,,
0x0035~0x0048,,Product SN,,ASCII,,,R,,
0x0100,,Battery capacity SOC,%,,0~100,,R,,
0x0101,,Battery voltage,0.1V,,,,R,,
0x0102,,Battery current,0.1A,SHORT,,,R,,
0x0107,,PV1 voltage,0.1V,,,,R,,
0x0108,,PV1 current,0.1A,,,,R,,
0x0109,,PV1 power,W,,,,R,,
0x010B,,Device Charge state,,,"{""0"": ""Charge off"", ""1"": ""Quick charge"", ""2"": ""Const voltage charge"", ""4"": ""Float charge"", ""6"": ""Li battery activate"", ""8"": ""Full""}",,R,,
0x010E,,Device Total charging power,W,,,,R,,
0x010F,,PV2 voltage,0.1V,,,,R,,
0x0110,,PV2 current,0.1A,,,,R,,
0x0111,,PV2 power,W,,,,R,,
0x0210,,Device state,,,"{""0"":""Power-up delay"",""1"":""Waiting state"",""2"":""Initialization"",""3"":""Soft start"",""4"":""Mains powered operation"",""5"":""Inverter powered operation"",""6"":""Inverter to mains"",""7"":""Mains to inverter"",""8"":""Battery activate"",""9"":""Shutdown by user"",""10"":""Fault""}",,R,,
0x0212,,Device Bus Voltage Sum,0.1V,,,,R,,
0x0213,,Grid phase_A voltage,0.1V,,,,R,,
0x0214,,Grid phase_A current,0.1A,,,,R,,
0x0215,,Grid frequency,0.01Hz,,,,R,,
0x0216,,Inverter phase_A output voltage,0.1V,,,,R,,
0x0217,,Inverter phase_A inductive current,0.1A,,,,R,,
0x0218,,Inverter frequency,0.01Hz,,,,R,,
0x0219,,Load Phase_A current,0.1A,,,,R,,
0x021B,,Load Phase_A active power,W,,,,R,,
0x021C,,Load Phase_A apparent power,VA,,,,R,,
0x021F,,Load Phase_A ratio,%,,0~100,,R,,
0x022A,,Grid phase_B voltage,0.1V,,,,R,,
0x022B,,Grid phase_C voltage,0.1V,,,,R,,
0x022C,,Inverter phase_B output voltage,0.1V,,,,R,,
0x022D,,Inverter phase_C output voltage,0.1V,,,,R,,
0x022E,,Inverter phase_B inductive current,0.1A,,,,R,,
0x022F,,Inverter phase_C inductive current,0.1A,,,,R,,
0x0230,,Load Phase_B current,0.1A,,,,R,,
0x0231,,Load Phase_C current,0.1A,,,,R,,
0x0232,,Load Phase_B active power,W,,,,R,,
0x0233,,Load Phase_C active power,W,,,,R,,
0x0234,,Load Phase_B apparent power,VA,,,,R,,
0x0235,,Load Phase_C apparent power,VA,,,,R,,
0x0236,,Load Phase_B ratio,%,,0~100,,R,,
0x0237,,Load Phase_C ratio,%,,0~100,,R,,
0x0238,,MGrid phase_B current,0.1A,,,,R,,
0x0239,,MGrid phase_C current,0.1A,,,,R,,
0xF02C,,MStats GenerateEnergyToGridTday,0.1kWh,BYTE,,,R,,
x14,,Software version 1,0.01,,,,R,,
x15,,Software version 2,0.01,,,,R,,
x16,,Hardware version 1,0.01,,,,R,,
x17,,Hardware version 2,0.01,,,,R,,
x1B,,Model Code,,,,,R,,
x103,,Controller temperature,C,BYTE,,,R,,
x103.b8,,Battery temperature,C,BYTE,,,R,,
x104,,Load DC Voltage,0.1V,,,,R,,
x105,,Load DC Current,0.01A,,,,R,,
x106,,Load DC Power,W,,,,R,,
x200,,Fault Bits 1,,16BIT_FLAGS,,,R,,
x201,,Fault Bits 2,,16BIT_FLAGS,,,R,,
x202,,Fault Bits 3,,16BIT_FLAGS,,,R,,
x203,,Fault Bits 4,,16BIT_FLAGS,,,R,,
x204,,Fault Code 1,,,,,R,,
x205,,Fault Code 2,,,,,R,,
x206,,Fault Code 3,,,,,R,,
x207,,Fault Code 4,,,,,R,,
x20C,,Current Time Year,,BYTE,,,RW,,
x20C.b8,,Current Time Month,,BYTE,,,RW,,
x211,,Password protection status mark,,,"{""0"":""No password entered by the user"",""1"":""User password has been entered"",""4"":""Manufacturer password has been entered""}",,R,,
x21A,,Load PF,0.01,,,,R,,
x21D,,Current Time Day,,BYTE,,,RW,,
x21D,,Inverter DC Component,1mV,,,,R,,
x21D.b8,,Current Time Hour,,BYTE,,,RW,,
x21E,,Current Time Minute,,BYTE,,,RW,,
x21E,,Mains charge current,0.1A,,,,R,,
x21E.b8,,Current Time Second,,BYTE,,,RW,,
x220,,DC_DC heat sink temperature,0.1C,,,,R,,
x221,,DC_AC heat sink temperature,0.1C,,,,R,,
x222,,Translator heat sink temperature,0.1C,,,,R,,
x223,,Heat sink D temperature,0.1C,,,,R,,
x224,,PV Charge Current,0.1A,,,,R,,
x225,,Ibuck2 Current,0.1A,,,,R,,
x226,,Inverter fault state,,,,,R,,
x227,,Charge status,,,,,R,,
x228,,PBusVolt,0.1V,,,,R,,
x229,,NBusVolt,0.1V,,,,R,,
xE001,,PV charge current limit,0.1A,,0~100,,RW,,
xE002,,Nominal battery capacity,1AH,,0~400,,RW,,
xE003,,System Voltage,V,,12~255,,R,,
xE004,,Battery Type,,,"{""0"":""User define"",""1"":""SLD"",""2"":""FLD""}",,RW,,
xE005,,Battery Over Voltage,0.1V,,9~15.5,,RW,,
xE006,,Limited Charge Voltage,0.1V,,9~15.5,,RW,,
xE007,,Equalizing charge voltage,0.1V,,9~15.5,,RW,,
xE008,,Boost Charge Voltage Or Lithium Over Voltage,0.1V,,9~15.5,,RW,,
xE009,,Float Charge Voltage Or Lithium Over Charge Return Voltage,0.1V,,9~15.5,,RW,,
xE00A,,Boost charge return voltage,0.1V,,9~15.5,,RW,,
xE00B,,Over discharge return voltage,0.1V,,9~15.5,,RW,,
xE00C,,Under_voltage warning voltage,0.1V,,9~15.5,,RW,,
xE00D,,Over discharge voltage,0.1V,,9~15.5,,RW,,
xE00E,,Limited discharge voltage,0.1V,,9~15.5,,RW,,
xE00F,,Charge Cutoff SOC,%,BYTE,0~100,,RW,,
xE00F.b8,,Discharge Cuttoff SOC,%,BYTE,0~100,,RW,,
xE010,,Over discharge delay time,S,,0~120,,RW,,
xE011,,Equalizing charge time,Min,,0~600,,RW,,
xE012,,Boost charge time,Min,,0~600,,RW,,
xE013,,Equalizing charge interval,Day,,0~255,,RW,,
xE014,,Temperature compensation coefficient,mV/C/2V,,0~10,,RW,,
xE015,,Charge upper limit temperature,C,SHORT,Err:502,,RW,,
xE016,,Charge lower limit temperature,C,SHORT,Err:502,,RW,,
xE017,,Discharge upper limit temperature,C,SHORT,Err:502,,RW,,
xE018,,DisChgMinTemperature,C,SHORT,Err:502,,RW,,
xE019,,HeatBatStartTemperature,C,SHORT,Err:502,,RW,,
xE01A,,HeatBatStopTemperature,C,SHORT,Err:502,,RW,,
xE01B,,Mains switching voltage,0.1V,,9~15.5,,RW,,
xE01C,,Stop charging current,0.1A,,0~40,,RW,,
xE01D,,DC load working mode,,,,,RW,,
xE01E,,Light control delay time,Min,,0~60,,RW,,
xE01F,,Light control voltage,V,,1~45,,RW,,
xE020,,1 Number of batteries connected in series,,,1~200,,RW,,
xE021,,Special power control,,,,,RW,,
xE022,,Inverter switching voltage,0.1V,,9~15.5,,RW,,
xE023,,Equalizing charge timeout time,Min,,5~900,,RW,,
xE024,,Lithium battery activation current,A,,0~10,,RW,,
xE026,,1_section start charging time,Min,,0~ 5947,,RW,,hour and minute:23*256+59==5947
xE027,,1_section stop charging time,Min,,0~ 5947,,RW,,
xE028,,2_section start charging time,Min,,0~ 5947,,RW,,
xE029,,2_section stop charging time,Min,,0~ 5947,,RW,,
xE02A,,3_section start charging time,Min,,0~ 5947,,RW,,
xE02B,,3_section stop charging time,Min,,0~ 5947,,RW,,
xE02C,,Sectional charging function enable,,,"{""0"":""Disable"",""1"":""Enable""}",,RW,,
